type	latitude	longitude	
W	51.5233774	-0.1581645	
W	51.5220957	-0.1579928	
W	51.5207472	-0.1577997	
W	51.5196123	-0.1575208	
W	51.5185975	-0.1569843	
W	51.5179432	-0.1567483	
W	51.5172355	-0.1564693	
W	51.5236711	-0.1556754
W	51.5236310	-0.1527786
W	51.5220155	-0.1525855	
W	51.5211210	-0.1540875	
W	51.5209341	-0.1560616	
W	51.5245789	-0.1495600	
W	51.5232972	-0.1489162	
W	51.5220957	-0.1484013	
W	51.5208940	-0.1477146	
W	51.5199327	-0.1473713	
W	51.5192384	-0.1469421	
W	51.5183572	-0.1467276	
W	51.5255134	-0.1449251	
W	51.5243653	-0.1443243	
W	51.5230035	-0.1438951	
W	51.5214815	-0.1431656	
W	51.5206537	-0.1429510	
W	51.5195321	-0.1423931	
W	51.5189447	-0.1421356
W	51.5248192	-0.1423502	
W	51.5238580	-0.1402473	
W	51.5229501	-0.1382303	
W	51.5218820	-0.1366854	
W	51.5209474	-0.1347542	
W	51.5203333	-0.1337671	
W	51.5219621	-0.1336384	
W	51.5237512	-0.1346254	
W	51.5251396	-0.1355267	
W	51.5271154	-0.1368570	
W	51.5279698	-0.1315355	
W	51.5265814	-0.1300764	
W	51.5253265	-0.1285744	
W	51.5239114	-0.1269007	
W	51.5227632	-0.1258278	
W	51.5217485	-0.1243687	
W	51.5256202	-0.1255703	
W	51.5277562	-0.1250124	
W	51.5298387	-0.1242399	
W	51.5254600	-0.1232958	
W	51.5244721	-0.1212788	
W	51.5237512	-0.1183176	
W	51.5237779	-0.1570702	
W	51.5238847	-0.1545382	
W	51.5239648	-0.1564264	
W	51.5241517	-0.1538515	
W	51.5233507	-0.1525640	
W	51.5241517	-0.1537228	
W	51.5241784	-0.1532507	
W	51.5238847	-0.1550531	
W	51.5228967	-0.1526070	
W	51.5227632	-0.1526499	
W	51.5220690	-0.1528645	
W	51.5217218	-0.1530361	
W	51.5215349	-0.1532078	
W	51.5214548	-0.1535511	
W	51.5212679	-0.1544094	
W	51.5212679	-0.1550102	
W	51.5211611	-0.1552248	
W	51.5211344	-0.1556540	
W	51.5210809	-0.1564264	
W	51.5210542	-0.1570272	
W	51.5213747	-0.1577568	
W	51.5233507	-0.1581860	
W	51.5230035	-0.1580572	
W	51.5228433	-0.1580143	
W	51.5220957	-0.1579285	
W	51.5220690	-0.1577997	
W	51.5205202	-0.1577568	
W	51.5202531	-0.1575851	
W	51.5195588	-0.1574993	
W	51.5192651	-0.1573706	
W	51.5191850	-0.1571989	
W	51.5185708	-0.1568556	
W	51.5178231	-0.1566839	
W	51.5171554	-0.1564264	
W	51.5191583	-0.1569414	
W	51.5184373	-0.1567698	
W	51.5178231	-0.1565981	
W	51.5239648	-0.1559973	
W	51.5236444	-0.1576281	
W	51.5237512	-0.1567268	
W	51.5238847	-0.1552248	
W	51.5240983	-0.1541948	
W	51.5220422	-0.1578856	
W	51.5219354	-0.1577568	
W	51.5213480	-0.1579285	
W	51.5201730	-0.1576710	
W	51.5227365	-0.1578856	
W	51.5227365	-0.1579285	
W	51.5251396	-0.1496029	
W	51.5244454	-0.1493883	
W	51.5242585	-0.1493883	
W	51.5241250	-0.1493025	
W	51.5239114	-0.1491737	
W	51.5238580	-0.1491737	
W	51.5238046	-0.1492167	
W	51.5232171	-0.1489162	
W	51.5231103	-0.1488304	
W	51.5229501	-0.1487875	
W	51.5228166	-0.1487017	
W	51.5226831	-0.1486588	
W	51.5226564	-0.1487017	
W	51.5220155	-0.1483154	
W	51.5218286	-0.1482725	
W	51.5216951	-0.1481867	
W	51.5216417	-0.1481438	
W	51.5215349	-0.1480579	
W	51.5214014	-0.1480579	
W	51.5213480	-0.1481009	
W	51.5207605	-0.1477146	
W	51.5207071	-0.1475430	
W	51.5205736	-0.1475859	
W	51.5204935	-0.1475859	
W	51.5197725	-0.1473713	
W	51.5191316	-0.1469421	
W	51.5189179	-0.1468992	
W	51.5254867	-0.1449251	
W	51.5252197	-0.1447964	
W	51.5251663	-0.1447964	
W	51.5250595	-0.1446676	
W	51.5248993	-0.1446676	
W	51.5248059	-0.1445818	
W	51.5241784	-0.1442385	
W	51.5239114	-0.1441526	
W	51.5237245	-0.1440668	
W	51.5236444	-0.1439810	
W	51.5235643	-0.1441526	
W	51.5228166	-0.1438093	
W	51.5226297	-0.1436377	
W	51.5221758	-0.1435947	
W	51.5220957	-0.1433372	
W	51.5220690	-0.1432943	
W	51.5214548	-0.1431656	
W	51.5212679	-0.1430368	
W	51.5212145	-0.1431656	
W	51.5205469	-0.1427364	
W	51.5203600	-0.1428223	
W	51.5201997	-0.1425648	
W	51.5201196	-0.1424360	
W	51.5195321	-0.1421785	
W	51.5257270	-0.1444101	
W	51.5255668	-0.1441097	
W	51.5254333	-0.1437235	
W	51.5254600	-0.1434231	
W	51.5252998	-0.1430368	
W	51.5251930	-0.1428223	
W	51.5251930	-0.1426506	
W	51.5248459	-0.1420069	
W	51.5247124	-0.1418352	
W	51.5245789	-0.1414061	
W	51.5244454	-0.1411486	
W	51.5243386	-0.1409769	
W	51.5242585	-0.1408052	
W	51.5243653	-0.1405478	
W	51.5241784	-0.1405478	
W	51.5238313	-0.1401186	
W	51.5237512	-0.1396465	
W	51.5236177	-0.1396036	
W	51.5236177	-0.1393890	
W	51.5235376	-0.1392174	
W	51.5234842	-0.1390886	
W	51.5234575	-0.1389599	
W	51.5233240	-0.1387453	
W	51.5232438	-0.1385736	
W	51.5229501	-0.1380157	
W	51.5227632	-0.1377153	
W	51.5227098	-0.1376724	
W	51.5226831	-0.1375866	
W	51.5226030	-0.1373720	
W	51.5225229	-0.1371574	
W	51.5224695	-0.1370716	
W	51.5224695	-0.1369429	
W	51.5223627	-0.1369858	
W	51.5220155	-0.1363420	
W	51.5218019	-0.1362133	
W	51.5216684	-0.1361275	
W	51.5216150	-0.1358271	
W	51.5214548	-0.1357412	
W	51.5213747	-0.1354837	
W	51.5212946	-0.1352692	
W	51.5211878	-0.1351833	
W	51.5208940	-0.1344967	
W	51.5208406	-0.1344538	
W	51.5207872	-0.1343036	
W	51.5207872	-0.1342392	
W	51.5206804	-0.1341105	
W	51.5270620	-0.1368999	
W	51.5269552	-0.1365995	
W	51.5268217	-0.1365566	
W	51.5266615	-0.1363420	
W	51.5265814	-0.1363420	
W	51.5264212	-0.1361704	
W	51.5262610	-0.1362133	
W	51.5261542	-0.1359987	
W	51.5259139	-0.1359129	
W	51.5258071	-0.1357412	
W	51.5257003	-0.1357841	
W	51.5257003	-0.1357841	
W	51.5250061	-0.1353979	
W	51.5247925	-0.1352262	
W	51.5245522	-0.1350975	
W	51.5243653	-0.1349688	
W	51.5242585	-0.1349258	
W	51.5242051	-0.1349258	
W	51.5234842	-0.1344538	
W	51.5232972	-0.1344109	
W	51.5231370	-0.1341963	
W	51.5228433	-0.1341105	
W	51.5227365	-0.1340675	
W	51.5225763	-0.1339817	
W	51.5224428	-0.1339388	
W	51.5218820	-0.1335955	
W	51.5217218	-0.1335526	
W	51.5215349	-0.1335955	
W	51.5212946	-0.1336384	
W	51.5211611	-0.1336384	
W	51.5210542	-0.1336384	
W	51.5208940	-0.1335955	
W	51.5278363	-0.1313639	
W	51.5276761	-0.1311922	
W	51.5275159	-0.1310205	
W	51.5272489	-0.1307201	
W	51.5272489	-0.1306772	
W	51.5271688	-0.1305270	
W	51.5268885	-0.1302695	
W	51.5270620	-0.1304412	
W	51.5268351	-0.1302695	
W	51.5265013	-0.1298833	
W	51.5263011	-0.1296258	
W	51.5264746	-0.1297760	
